"site_id","cluster","latitude","longitude","DDT","PCP","delta13C","delta15N"
"S001","North",45.5920851602136,-123.80183307611,4.74697739716429,1.76744841167236,-21.2807305207089,9.26820664817273
"S002","North",45.9162885383975,-118.944541749525,3.82791950450336,3.87508202969849,-22.2658106182885,8.21010832457175
"S003","Central",37.7804182728716,-117.795363697771,2.65239733586656,1.7698248181205,-24.8865926886701,7.42242151521744
"S004","North",44.2083957119706,-122.126162150758,3.88300817597175,2.22262390269547,-22.4832418895607,8.0098192434487
"S005","South",29.3450165454588,-110.418245047714,0.01,1.39883606802475,-24.724569237176,5.77397712415579
"S006","South",28.2664467408193,-112.117533335475,0.506798921647388,0.325283772602382,-25.1459719223,7.01097775917859
"S007","North",43.9802032891067,-122.198132055434,4.30101854224314,2.93365174737043,-23.6849989494222,10.3462705764813
"S008","Central",35.2489432005971,-119.615471351747,2.36983422040081,0.57074580445502,-25.0056437917497,8.49483464636259
"S009","South",29.2531107380694,-113.229432520125,0.223484641001958,1.59842073366035,-25.2445488056637,6.64823033384381
"S010","North",45.0469593889599,-123.925403306138,4.94761463613802,1.7532989089722,-22.2299979718222,10.2836101212727
"S011","South",29.754263781661,-112.034283304067,0.852991875198,1.28993277140037,-25.0690953438145,6.39253340783803
"S012","North",44.5306255118867,-122.527269310294,3.85073789978479,3.19755024498215,-22.571252331402,9.05153277542067
"S013","North",45.9856122064094,-122.782694140034,4.54863246767154,2.86916288638978,-21.5351988523376,8.34195430795475
"S014","Central",39.2181782820073,-117.173832037524,2.60381107310845,1.93844928789713,-23.5647739866727,7.04812640825152
"S015","South",30.8260189671823,-111.028630408194,0.0290481802911955,1.23781140375595,-23.647721993832,6.321247020302
"S016","North",45.5626634336553,-122.26102735164,3.92842220319839,2.76673574086597,-21.4245589396786,8.36177532480109
"S017","North",43.9451888709573,-121.226498407028,3.95633371889773,3.1148143912266,-23.3348380285726,9.5755892982552
"S018","Central",36.853179793654,-119.06389442172,2.74800292473195,1.28690393106226,-24.760589766879,7.53023277481885
"S019","South",30.1188572821499,-111.860289457768,0.953468343763249,0.284138281016411,-25.8331359093764,6.19529729399953
"S020","South",31.2537918151704,-109.834620969692,0.01,1.88805584796939,-27.1273275865192,5.74013950534944
"S021","North",45.4185028447651,-122.407645572667,4.05839738184066,2.68263639931574,-23.369519456457,9.27111921663359
"S022","Central",37.1296872735304,-117.42014663115,2.12470830592064,1.02849430280924,-25.051112963802,7.96680994147299
"S023","North",47.0484457757296,-123.802373645163,4.10005089144063,3.04062849146641,-21.9253500129434,10.0303144501649
"S024","North",45.8357690974325,-122.699174144563,4.14873449914602,1.74264985228053,-21.1304946653856,9.28510780790377
