"site_i","site_j","distance_km","sim_DDT","sim_PCP","sim_isotope","sim_overall"
"S001","S002",378.513236809677,0.57508234937678,0.111277850564058,0.914168805220273,0.533509668387037
"S001","S003",1000.93539026707,0.283408216870059,0.997527330490805,0.777668114739661,0.686201220700175
"S001","S004",202.701348290416,0.594472691452982,0.622382655839723,0.897586358938532,0.704813902077079
"S001","S005",2151.88084484645,0.0577575301688251,0.681118485397244,0.737458150475176,0.492111388680415
"S001","S006",2183.23412674765,0.0778909697300346,0.222585967278061,0.757408516256346,0.352628484421481
"S001","S007",219.403990216544,0.764561909822591,0.296725918731228,0.849113703257515,0.636800510603778
"S001","S008",1203.00639879069,0.239079181535565,0.287445952108358,0.789657764943205,0.438727632862376
"S001","S009",2038.42764758488,0.0656780206501835,0.838540481050532,0.744571774421261,0.549596758707326
"S001","S010",61.3803570953029,0.886231664871225,0.985367214669791,0.917332165456444,0.92964368166582
"S001","S011",2038.01722392367,0.0959384244615193,0.608064656694287,0.744352691371046,0.482785257508951
"S001","S012",154.760953282402,0.583036129208536,0.22540085255231,0.921981060042502,0.576806013934449
"S001","S013",90.3264422864811,0.887455414258123,0.317346152323462,0.942115294349364,0.71563895364365
"S001","S014",892.889030379299,0.275239332677571,0.836818488458785,0.82059724086807,0.644218354001475
"S001","S015",1979.80220437562,0.0584236105995059,0.575927260047906,0.790859950780071,0.475070273809161
"S001","S016",119.964264345052,0.610948398392103,0.353082368915161,0.944621652794659,0.636217473367308
"S001","S017",273.59453220451,0.621300149525133,0.245690913289312,0.87903656349669,0.582009208770378
"S001","S018",1048.91407547091,0.300197226176015,0.606148972276562,0.785483857876463,0.56394335210968
"S001","S019",2009.74181864879,0.101920188219753,0.213246371951435,0.711097613955074,0.342088058042087
"S001","S020",1999.29690937734,0.0577575301688251,0.881924886748625,0.654497716099718,0.53139337767239
"S001","S021",110.348964636825,0.660669160060456,0.385413104580572,0.878392263858303,0.641491509499777
"S001","S022",1080.39839145174,0.206280567434704,0.463087292335173,0.780674694890732,0.483347518220203
"S001","S023",161.939917129872,0.677444219323267,0.265432586453459,0.939919044533889,0.627598616770205
"S001","S024",89.7962660287008,0.697591100754766,0.974495820322717,0.990659158395709,0.887582026491064
"S001","S025",1269.70484550652,0.156222043561443,0.341802352340394,0.78200366311313,0.426676019671656
"S001","S026",2124.38482151169,0.0577575301688251,0.717334056562743,0.695768587742348,0.490286724824639
"S001","S027",1125.32271941132,0.123165841142834,0.410916146297647,0.803381877647419,0.445821288362634
"S001","S028",147.886835904202,0.795216678721057,0.421746334828492,0.904061598623254,0.707008204057601
"S001","S029",1927.85873646723,0.0641752452733877,0.583141660705311,0.709762850143947,0.452359918707549
"S001","S030",39.0418871903212,0.763945356793593,0.465355595530143,0.891751091866636,0.707017348063457
"S001","S031",131.281326272417,0.960287167706054,0.721271048993162,0.927051773545804,0.869536663415006
"S001","S032",260.418758608459,0.44943435774035,0.476797360247861,0.931210033795365,0.619147250594525
"S001","S033",1057.46882853101,0.24171899999981,0.392732505976223,0.846347015823701,0.493599507266578
"S001","S034",1950.79741853549,0.0635209435510616,0.247362147875463,0.767559961248761,0.359481017558429
"S001","S035",1063.7538540904,0.300987082392471,0.860168195752869,0.82547744006659,0.662210906070643
"S001","S036",395.092252920486,0.6839149770913,0.084682461474928,0.970940766163408,0.579846068243212
"S001","S037",1168.51661341841,0.176049030908247,0.720728174950152,0.800660316270751,0.565812507376384
"S001","S038",1364.70307088362,0.183372534980611,0.237264499432925,0.769170475027452,0.396602503146996
"S001","S039",231.108158673266,0.794783756615731,0.224454957436294,0.945294911620749,0.654844541890925
"S001","S040",2261.70843360528,0.0577575301688251,0.341266785070086,0.682906869478375,0.360643728239095
"S001","S041",998.822734048688,0.434633847904653,0.757728931739576,0.75305514318653,0.648472640943586
"S001","S042",2069.25471440321,0.0577575301688251,0.404275892073278,0.710264914126379,0.390766112122827
"S001","S043",1024.95107933678,0.230071378281391,0.411165218357344,0.821592584395898,0.487609727011545
"S001","S044",262.10517995803,0.418615268437896,0.321593228226655,0.960839793879964,0.567016096848172
"S001","S045",2253.47943932307,0.0577575301688251,0.512342565344924,0.711224147167081,0.42710808089361
"S001","S046",26.6410593811937,0.861199967217874,0.380777376750968,0.94051964785017,0.727498997273004
"S001","S047",70.2839946359537,0.513619216672444,0.274988701930456,0.974620508773454,0.587742809125451
"S001","S048",1858.02624544255,0.0808252599470395,0.209930727893203,0.689556170545924,0.326770719462055
"S001","S049",195.096029131582,0.54474444224603,0.90843676610544,0.951362020826655,0.801514409726041
"S001","S050",2135.40736026126,0.0804293415520216,0.753370326978547,0.651153063369302,0.494984243966624
"S001","S051",1058.58494615424,0.35135925601679,0.800442322538305,0.847117357549951,0.666306312035015
"S001","S052",1187.63430995936,0.224006454754247,0.741243969325856,0.812572182384613,0.592607535488239
"S001","S053",1127.03468802777,0.3229931774835,0.56990619333096,0.831885247261001,0.574928206025154
"S001","S054",113.043873657114,0.730641064978012,0.98494493096873,0.922615535075381,0.879400510340708
"S001","S055",1218.75568647588,0.233965077244073,0.928935885370618,0.738160083075615,0.633687015230102
"S001","S056",264.943445983934,0.596424737265116,0.185943224142163,0.875599081358293,0.552655680921857
"S001","S057",2092.85281724688,0.0702939471229672,0.188022536088843,0.705696527114199,0.32133767010867
"S001","S058",1124.7132801542,0.20294145478551,0.379808067188564,0.812290151921703,0.465013224631926
"S001","S059",946.655845174237,0.258024401570209,0.36929860053196,0.815931350071262,0.48108478405781
"S001","S060",2090.79247862113,0.0701818989938838,0.897297847810866,0.682796545650193,0.550092097484981
"S002","S003",909.632781808092,0.492813276528467,0.111553685961974,0.843770690960087,0.482712551150176
"S002","S004",313.819717617059,0.967382282895435,0.17879330267313,0.981816600165938,0.709330728578168
"S002","S005",1986.8854341179,0.100433494840204,0.075793401034452,0.806656447649517,0.327627781174724
"S002","S006",2051.89993881482,0.135443158383222,0.0247688880044243,0.823935552967716,0.328049199785121
"S002","S007",334.476648698646,0.752172377394816,0.375018977242943,0.852826388375806,0.660005914337855
"S002","S008",1187.49461075883,0.415730341567005,0.0319863677039572,0.842828766776027,0.430181825348997
"S002","S009",1918.75865018432,0.114206288406103,0.0933109823422544,0.811571734887086,0.339696335211814
"S002","S010",400.098225873316,0.509656187926239,0.109649545664747,0.879209443965642,0.499505059185543
"S002","S011",1894.96804724333,0.16682554170805,0.067664128000912,0.812702374145938,0.3490640146183
"S002","S012",320.072779093099,0.986357998358431,0.493688685308913,0.945949171965388,0.808665285210911
"S002","S013",296.802517339362,0.64801266648142,0.350651330571784,0.954960411586138,0.651208136213114
"S002","S014",758.724709256879,0.478608555758752,0.132977284917551,0.897459440465868,0.503015093714057
"S002","S015",1812.04900830513,0.101591729711092,0.0640879475793782,0.864779484183694,0.343486387158055
