Species Name,Environment,Latitude,Longitude,Elevation (m),Exposition,Maturity,Life History,Functional Group,Trait Name,Trait Value,Data Flag
Allium textile,Mixedgrass,41.183333,-104.9,1930,natural environment,mature,Perennial,Forb,Specific Leaf Area (cm2/g),120.0378909,
Allium textile,Mixedgrass,41.183333,-104.9,1930,natural environment,mature,Perennial,Forb,Leaf N (%),2.5,
Allium textile,Mixedgrass,41.183333,-104.9,1930,natural environment,mature,Perennial,Forb,Leaf P (%),0.34,
Allium textile,Mixedgrass,41.183333,-104.9,1930,natural environment,mature,Perennial,Forb,Stem Specific Density (mg/mm3),0.316886588,
Allium textile,Mixedgrass,41.183333,-104.9,1930,natural environment,mature,Perennial,Forb,Leaf Dry Matter Content (g/g),0.11986987,
Allium textile,Mixedgrass,41.183333,-104.9,1930,natural environment,mature,Perennial,Forb,Leaf Thickness (mm),0.64,
Allium textile,Mixedgrass,41.183333,-104.9,1930,natural environment,mature,Perennial,Forb,Leaf Osmotic Potential (MPa),-0.35937,
Allium textile,Mixedgrass,41.183333,-104.9,1930,natural environment,mature,Perennial,Forb,Leaf Pubescence (%),0,
Allium textile,Mixedgrass,41.183333,-104.9,1930,natural environment,mature,Perennial,Forb,Individual Leaf Area (cm2),1.975,
Allium textile,Mixedgrass,41.183333,-104.9,1930,natural environment,mature,Perennial,Forb,Leaf Toughness (N),2.911,
Allium textile,Mixedgrass,41.183333,-104.9,1930,natural environment,mature,Perennial,Forb,Leaf Cellulose (%),21.44,
Allium textile,Mixedgrass,41.183333,-104.9,1930,natural environment,mature,Perennial,Forb,Leaf Lignin (%),3.57,
Allium textile,Mixedgrass,41.183333,-104.9,1930,natural environment,mature,Perennial,Forb,Plant Height (mm),115,
Allium textile,Mixedgrass,41.183333,-104.9,1930,natural environment,mature,Perennial,Forb,Specific Leaf Area (cm2/g),101.7088335,
Allium textile,Mixedgrass,41.183333,-104.9,1930,natural environment,mature,Perennial,Forb,Leaf N (%),2.26,
Allium textile,Mixedgrass,41.183333,-104.9,1930,natural environment,mature,Perennial,Forb,Leaf P (%),0.34,
Allium textile,Mixedgrass,41.183333,-104.9,1930,natural environment,mature,Perennial,Forb,Stem Specific Density (mg/mm3),0.31962103,
Allium textile,Mixedgrass,41.183333,-104.9,1930,natural environment,mature,Perennial,Forb,Leaf Dry Matter Content (g/g),0.12860676,
Allium textile,Mixedgrass,41.183333,-104.9,1930,natural environment,mature,Perennial,Forb,Leaf Thickness (mm),0.695,
Allium textile,Mixedgrass,41.183333,-104.9,1930,natural environment,mature,Perennial,Forb,Leaf Osmotic Potential (MPa),-0.4264524,
Allium textile,Mixedgrass,41.183333,-104.9,1930,natural environment,mature,Perennial,Forb,Leaf Pubescence (%),0,
Allium textile,Mixedgrass,41.183333,-104.9,1930,natural environment,mature,Perennial,Forb,Individual Leaf Area (cm2),0.545,
Allium textile,Mixedgrass,41.183333,-104.9,1930,natural environment,mature,Perennial,Forb,Leaf Toughness (N),4.607,
Allium textile,Mixedgrass,41.183333,-104.9,1930,natural environment,mature,Perennial,Forb,Leaf Cellulose (%),21.26,
Allium textile,Mixedgrass,41.183333,-104.9,1930,natural environment,mature,Perennial,Forb,Leaf Lignin (%),2.98,
Allium textile,Mixedgrass,41.183333,-104.9,1930,natural environment,mature,Perennial,Forb,Plant Height (mm),101,
Allium textile,Mixedgrass,41.183333,-104.9,1930,natural environment,mature,Perennial,Forb,Specific Leaf Area (cm2/g),104.251606,
Allium textile,Mixedgrass,41.183333,-104.9,1930,natural environment,mature,Perennial,Forb,Leaf N (%),2.95,
Allium textile,Mixedgrass,41.183333,-104.9,1930,natural environment,mature,Perennial,Forb,Leaf P (%),0.4,
Allium textile,Mixedgrass,41.183333,-104.9,1930,natural environment,mature,Perennial,Forb,Stem Specific Density (mg/mm3),0.321745029,
Allium textile,Mixedgrass,41.183333,-104.9,1930,natural environment,mature,Perennial,Forb,Leaf Dry Matter Content (g/g),0.133116883,
Allium textile,Mixedgrass,41.183333,-104.9,1930,natural environment,mature,Perennial,Forb,Leaf Thickness (mm),0.59,
Allium textile,Mixedgrass,41.183333,-104.9,1930,natural environment,mature,Perennial,Forb,Leaf Osmotic Potential (MPa),-0.3737448,
Allium textile,Mixedgrass,41.183333,-104.9,1930,natural environment,mature,Perennial,Forb,Individual Leaf Area (cm2),1.615,
Allium textile,Mixedgrass,41.183333,-104.9,1930,natural environment,mature,Perennial,Forb,Leaf Toughness (N),3.777,
Allium textile,Mixedgrass,41.183333,-104.9,1930,natural environment,mature,Perennial,Forb,Leaf Cellulose (%),19.92,
Allium textile,Mixedgrass,41.183333,-104.9,1930,natural environment,mature,Perennial,Forb,Leaf Lignin (%),3.39,
